Case Number,Date of Crash,Crash Severity,Longitude,Latitude
20251464251,20250103,Property Damage Only,-93.9507912201,42.0337706355
20251464274,20250117,Property Damage Only,-91.7735759686,42.3117440433
20251464276,20250116,Property Damage Only,-91.1401646929,40.7519725773
20251464289,20250115,Property Damage Only,-95.5040360664,42.3625932027
20251464328,20250117,Property Damage Only,-93.8263727421,41.5599542214
20251464330,20250117,Property Damage Only,-92.3117017033,43.4641497796
20251464334,20250118,Property Damage Only,-90.6461557367,42.5301861332
20251464342,20250116,Property Damage Only,-95.151081275,42.8726099785
20251464346,20250117,Property Damage Only,-93.1061139274,40.6379432023
20251464360,20250117,Property Damage Only,-92.9615466166,41.4072680873
20251464387,20250118,Property Damage Only,-96.3472933,43.1997111217
20251464393,20250114,Property Damage Only,-92.1511693986,42.635102183
20251464412,20250118,Property Damage Only,-92.7319637358,42.7912885397
20251464416,20250118,Property Damage Only,-91.0877536507,41.4083332014
20251464420,20250117,Property Damage Only,-91.2668289434,41.408270657
20251464422,20250118,Property Damage Only,-91.7052889054,40.9820718008
20251464460,20250117,Property Damage Only,-92.5546825909,40.6595110897
20251464473,20250112,Property Damage Only,-91.4320087223,42.7982463652
20251464475,20250119,Property Damage Only,-92.6501730823,43.0277341092
20251464486,20250113,Property Damage Only,-92.3314959138,41.746797735
20251464508,20250118,Property Damage Only,-92.3978660023,42.773386212
20251464509,20250117,Property Damage Only,-92.4754223467,42.6883056873
20251464511,20250119,Property Damage Only,-91.8775415046,42.4493565031
20251464519,20250119,Property Damage Only,-91.8050492877,42.8262511607
20251464520,20250120,Property Damage Only,-91.85449791,42.846865213
20251464522,20250118,Property Damage Only,-91.4638077791,40.4337313649
20251464528,20250117,Property Damage Only,-91.3820728553,41.2809927872
20251464529,20250117,Property Damage Only,-91.200421844,41.334824898
20251464531,20250120,Property Damage Only,-93.3591294025,43.2963191688
20251464536,20250119,Property Damage Only,-91.5648588909,40.8723314962
20251464550,20250102,Property Damage Only,-91.4264131719,40.4058601846
20251464568,20250120,Property Damage Only,-93.8122575192,41.6269242403
20251464575,20250117,Property Damage Only,-92.2319445398,42.527153758
20251464584,20250118,Property Damage Only,-92.9750782886,41.4072537986
20251464614,20250120,Property Damage Only,-93.4636745489,41.8208354375
20251464624,20250119,Property Damage Only,-93.5814315316,42.0859611085
20251464625,20250119,Property Damage Only,-93.3859832957,42.1401572571
20251464648,20250119,Property Damage Only,-91.1158203219,42.462400402
20251464653,20250119,Property Damage Only,-93.7039595941,41.4264868225
20251464660,20250110,Property Damage Only,-91.4986267607,42.7877208056
20251464661,20250118,Property Damage Only,-95.1530771975,42.8831801021
20251464663,20250107,Property Damage Only,-93.9106944823,42.6001356442
20251464666,20250110,Property Damage Only,-92.4758268897,42.5412630145
20251464668,20250119,Property Damage Only,-95.2294390007,42.5207072418
20251464685,20250117,Property Damage Only,-94.0230810799,41.6510554145
20251464691,20250117,Property Damage Only,-91.6472965343,42.6174724981
20251464712,20250121,Property Damage Only,-91.1396828226,42.8189122833
20251464714,20250108,Property Damage Only,-90.6889761466,42.0666627626
20251464717,20250118,Property Damage Only,-92.4990944622,42.7168511208
20251464760,20250116,Property Damage Only,-95.1682981139,43.1839520215
20251464790,20250121,Property Damage Only,-91.1401395951,41.6702816472
20251464791,20250119,Property Damage Only,-96.272766013,42.6230384318
20251464792,20250121,Property Damage Only,-96.5017663936,42.6707989153
20251464793,20250121,Property Damage Only,-93.9541901075,40.7283332883
20251464796,20250121,Property Damage Only,-93.7344479063,42.853283796
20251464800,20250121,Property Damage Only,-92.7272114172,41.6075286066
20251464813,20250121,Property Damage Only,-95.821952059,41.2774615585
20251464827,20250121,Property Damage Only,-93.7947051165,42.387471134
20251464830,20250116,Property Damage Only,-94.6693265649,42.4665244144
20251464837,20250122,Property Damage Only,-96.5016935964,42.6736284699
20251464978,20250121,Property Damage Only,-90.544326794,41.5674791383
20251464980,20250109,Property Damage Only,-91.4096317081,43.1744760392
20251464984,20250122,Property Damage Only,-95.398610495,42.3376703318
20251465062,20250119,Property Damage Only,-91.3830055952,40.6241840724
20251465081,20250122,Property Damage Only,-93.6208410695,42.0579606098
20251465082,20250122,Property Damage Only,-93.4008446177,42.0077463592
20251465086,20250122,Property Damage Only,-91.4075319786,42.4450411811
20251465091,20250123,Property Damage Only,-93.6472170793,41.4165064364
20251465099,20250123,Property Damage Only,-94.148471816,42.6049870687
20251465110,20250103,Property Damage Only,-91.6829554146,40.6276346503
20251465118,20250122,Property Damage Only,-96.4144215335,43.1995709067
20251465126,20250118,Property Damage Only,-93.8086629826,41.352945737
20251465146,20250122,Property Damage Only,-93.291356072,41.4100943163
20251465147,20250123,Property Damage Only,-93.0118836561,41.2267947874
20251465163,20250109,Property Damage Only,-91.8406161529,42.2117986357
20251465247,20250121,Property Damage Only,-90.6762921431,42.1399654395
20251465262,20250123,Property Damage Only,-91.3145597247,40.9771285641
20251465281,20250123,Property Damage Only,-92.7283030687,43.0600401223
20251465282,20250123,Property Damage Only,-91.1749383856,40.8481554838
20251465290,20250123,Property Damage Only,-91.7946466792,42.1024305516
20251465337,20250123,Property Damage Only,-93.2106771622,43.2005368012
20251465338,20250123,Property Damage Only,-90.7954215569,42.4998819379
20251465368,20250123,Property Damage Only,-96.3442720255,42.4125078526
20251465372,20250124,Property Damage Only,-93.8380794599,41.4728048329
20251465374,20250123,Property Damage Only,-91.1367421898,42.0142614431
20251465375,20250123,Property Damage Only,-91.1967301785,42.2678379069
20251465378,20250122,Property Damage Only,-91.6992864607,43.3423791206
20251465380,20250123,Property Damage Only,-92.0589615394,43.4097817605
20251465381,20250123,Property Damage Only,-93.2002909485,42.7743527718
20251465387,20250123,Property Damage Only,-94.9846047153,41.333682655
20251465389,20250122,Property Damage Only,-96.4965966627,42.5984186587
20251465406,20250118,Property Damage Only,-91.889979098,42.533447177
20251465422,20250123,Property Damage Only,-92.7982650265,42.7447042436
20251465428,20250124,Property Damage Only,-95.5545440264,42.6897215045
20251465458,20250124,Property Damage Only,-93.5879843571,41.5038544458
20251465467,20250117,Property Damage Only,-91.3013298194,40.6616654907
20251465470,20250123,Property Damage Only,-96.1070628434,42.9682293808
20251465473,20250121,Property Damage Only,-94.2267440182,42.6935459374
20251465485,20250124,Property Damage Only,-93.0705876481,42.3799098998
20251465487,20250127,Property Damage Only,-90.2534576869,41.8303705932
20251465490,20250122,Property Damage Only,-91.1791543183,42.9762864303
20251465496,20250124,Property Damage Only,-94.5411636228,42.8081561025
20251465509,20250124,Property Damage Only,-95.6522093183,41.87666358
20251465527,20250124,Property Damage Only,-91.5646467816,41.9961662972
20251465545,20250125,Property Damage Only,-90.2996217585,41.7771426925
20251465562,20250108,Property Damage Only,-91.9094037634,42.6472303053
20251465577,20250125,Property Damage Only,-91.4952504345,41.970942247
20251465584,20250125,Property Damage Only,-93.2020541427,42.9779140737
20251465589,20250125,Property Damage Only,-92.8342857423,40.7325908094
20251465603,20250125,Property Damage Only,-94.0414715532,41.2163206337
20251465604,20250125,Property Damage Only,-91.5686730849,42.0196060886
20251465613,20250109,Property Damage Only,-91.7928433913,43.291737339
20251465614,20250115,Property Damage Only,-91.7877183806,43.3269446723
20251465615,20250116,Property Damage Only,-91.7976179153,43.2915355073
20251465617,20250121,Property Damage Only,-91.8137015799,43.3221206262
20251465620,20250102,Property Damage Only,-91.8131485918,43.3270853514
20251465621,20250110,Property Damage Only,-91.8031927397,43.2857230368
20251465650,20250121,Property Damage Only,-95.5542038504,42.8179209321
20251465653,20250125,Property Damage Only,-91.2012239281,42.8319806183
20251465669,20250126,Property Damage Only,-91.1514916015,40.7676842532
20251465680,20250125,Property Damage Only,-92.3653913023,41.9646220537
20251465686,20250125,Property Damage Only,-92.2340618486,42.4644334252
20251465702,20250111,Property Damage Only,-92.732310495,43.1691169515
20251465708,20250125,Property Damage Only,-91.3135432421,41.4015071523
20251465711,20250126,Property Damage Only,-93.7791740195,42.5077342846
20251465726,20250126,Property Damage Only,-90.9825749116,42.0412573416
20251465737,20250125,Property Damage Only,-91.4033753186,40.9058440806
20251465740,20250124,Property Damage Only,-93.9546931079,41.5951782401
20251465741,20250125,Property Damage Only,-91.2998978513,40.635133331
20251465744,20250127,Property Damage Only,-90.9374911249,41.5027579935
