Case Number,Date of Crash,Crash Severity,Longitude,Latitude
20261524828,20260116,Suspected Minor Injury Crash,-91.27696687,40.73952167
20261524834,20260114,Property Damage Only,-92.33701277,42.8172124
20261524851,20260117,Property Damage Only,-96.47358308,42.52006125
20261524861,20260114,Property Damage Only,-92.91691748,41.93216532
20261524934,20260119,Property Damage Only,-93.79413576,41.6048572
20261524936,20260117,Property Damage Only,-92.19570895,42.54145845
20261524941,20260119,Property Damage Only,-92.34743676,42.25916681
20261524957,20260114,Property Damage Only,-91.48058492,42.87044692
20261524973,20260118,Property Damage Only,-92.91685524,41.94293737
20261524977,20260112,Property Damage Only,-93.30970324,42.34224614
20261524998,20260118,Property Damage Only,-93.43696475,43.26991688
20261524999,20260116,Property Damage Only,-92.81656199,41.71712528
20261525016,20260118,Property Damage Only,-90.66511586,42.45654227
20261525030,20260112,Property Damage Only,-91.95101469,42.09399664
20261525031,20260115,Property Damage Only,-91.96652737,42.14472596
20261525036,20260113,Property Damage Only,-95.24576624,42.6565011
20261525040,20260118,Property Damage Only,-91.26144551,42.12547184
20261525043,20260106,Property Damage Only,-92.06257753,42.54127518
20261525044,20260108,Property Damage Only,-91.88948964,42.49783388
20261525057,20260117,Property Damage Only,-93.39305404,41.46315244
20261525059,20260120,Property Damage Only,-91.22983711,41.75603653
20261525075,20260120,Property Damage Only,-94.41428508,41.12399836
20261525082,20260118,Property Damage Only,-93.85417539,41.57668462
20261525089,20260118,Property Damage Only,-96.37067457,42.63141604
20261525105,20260120,Property Damage Only,-90.19889419,41.94956569
20261525116,20260119,Property Damage Only,-93.97038386,42.10264091
20261525138,20260118,Property Damage Only,-93.75277572,41.6022892
20261525147,20260120,Property Damage Only,-91.74178234,41.60842449
20261525148,20260120,Property Damage Only,-93.6057766,41.18001861
20261525150,20260120,Property Damage Only,-96.34300617,42.41155431
20261525161,20260113,Property Damage Only,-91.37772145,42.80454099
20261525179,20260120,Property Damage Only,-91.7622174,42.01436337
20261525205,20260120,Property Damage Only,-94.95304946,41.4037746
20261525207,20260120,Property Damage Only,-94.73148083,42.2848128
20261525208,20260120,Property Damage Only,-94.71000301,42.26738463
20261525241,20260121,Property Damage Only,-95.78454728,41.25329918
20261525282,20260116,Property Damage Only,-91.38849359,41.2811279
20261525283,20260121,Property Damage Only,-91.03876402,41.5155365
20261525284,20260112,Property Damage Only,-92.43367576,42.5373971
20261525287,20260120,Property Damage Only,-91.88750891,40.96112111
20261525296,20260120,Property Damage Only,-96.37309754,43.19963667
20261525301,20260114,Property Damage Only,-96.15512475,42.40053224
20261525306,20260121,Property Damage Only,-93.02377122,43.08118869
20261525311,20260114,Property Damage Only,-91.11564563,41.74438482
20261525312,20260115,Property Damage Only,-91.03557536,41.65483343
20261525338,20260120,Property Damage Only,-92.10378526,41.53035565
20261525359,20260121,Property Damage Only,-93.69516015,41.75498002
20261525385,20260121,Property Damage Only,-90.58231142,41.5454984
20261525412,20260122,Property Damage Only,-94.28120661,42.09465576
20261525414,20260122,Property Damage Only,-92.47334361,41.99633106
20261525421,20260122,Property Damage Only,-91.60103057,41.22108921
20261525447,20260121,Property Damage Only,-93.95610246,41.83481498
20261525448,20260121,Property Damage Only,-94.2794708,41.83440582
20261525449,20260121,Property Damage Only,-94.09283626,41.59954143
20261525450,20260122,Property Damage Only,-94.18910732,41.62628257
20261525461,20260121,Property Damage Only,-95.14801479,43.42636836
20261525487,20260122,Property Damage Only,-94.42820905,41.6805828
20261525506,20260121,Property Damage Only,-96.11938547,42.807762
20261525516,20260122,Property Damage Only,-94.36254988,41.69878136
20261525520,20260121,Property Damage Only,-91.0742602,40.95300676
20261525529,20260122,Property Damage Only,-91.58947554,42.00575969
20261525540,20260122,Property Damage Only,-94.42476226,41.6806436
20261525543,20260122,Property Damage Only,-93.5154536,41.61509145
20261525580,20260123,Property Damage Only,-93.37968941,41.45476632
20261525585,20260122,Property Damage Only,-91.33397121,40.65341226
20261525588,20260122,Property Damage Only,-92.84635395,41.30561039
20261525597,20260122,Property Damage Only,-91.39719508,40.42144
20261525598,20260122,Property Damage Only,-93.03496547,41.59602935
20261525636,20260113,Property Damage Only,-93.04299777,42.25000955
20261525659,20260120,Property Damage Only,-93.37963084,42.45736703
20261525662,20260122,Property Damage Only,-93.20263216,42.94477411
20261525677,20260120,Property Damage Only,-91.64546503,41.76921019
20261525701,20260122,Property Damage Only,-91.88790131,41.76439139
20261525725,20260116,Property Damage Only,-93.50326201,41.60621929
20261525737,20260123,Property Damage Only,-92.75317236,40.73984195
20261525797,20260124,Property Damage Only,-92.34778235,42.27033646
20261525898,20260124,Property Damage Only,-93.81428058,41.6121562
20261525907,20260125,Property Damage Only,-90.61634711,42.10062303
20261525925,20260113,Property Damage Only,-92.06619155,42.44904947
20261525927,20260124,Property Damage Only,-91.10666849,42.35473203
20261525931,20260125,Property Damage Only,-93.60662105,42.06480955
20261525940,20260125,Property Damage Only,-94.01278327,41.58930389
20261525948,20260126,Property Damage Only,-96.40743117,42.54454269
20261526008,20260122,Property Damage Only,-92.57376487,41.00936366
20261526016,20260123,Property Damage Only,-91.34474561,42.35242851
